region;date;heure;conso_gaz;conso_elec
Nouvelle-Aquitaine;2013-01-02;03:00;1571.0;5303.0
Centre-Val de Loire;2013-01-02;03:30;nan;2215.0
Centre-Val de Loire;2013-01-02;02:00;nan;2404.0
Centre-Val de Loire;2013-01-02;02:30;nan;2362.0
Nouvelle-Aquitaine;2013-01-02;02:30;nan;5496.0
Centre-Val de Loire;2013-01-02;03:00;nan;2339.0
Nouvelle-Aquitaine;2013-01-02;03:30;nan;5059.0
Centre-Val de Loire;2013-01-02;04:00;nan;2165.0
Nouvelle-Aquitaine;2013-01-02;04:00;1712.0;4905.0
Nouvelle-Aquitaine;2013-01-02;02:00;1551.0;5460.0
Centre-Val de Loire;2013-01-01;02:00;nan;2395.0
Nouvelle-Aquitaine;2013-01-01;02:00;1760.0;5443.0
Centre-Val de Loire;2013-01-01;02:30;nan;2328.0
Centre-Val de Loire;2013-01-01;03:00;nan;2349.0
Centre-Val de Loire;2013-01-01;04:00;nan;2091.0
Nouvelle-Aquitaine;2013-01-01;02:30;nan;5516.0
Nouvelle-Aquitaine;2013-01-01;03:00;1806.0;5156.0
Centre-Val de Loire;2013-01-01;03:30;nan;2132.0
Nouvelle-Aquitaine;2013-01-01;03:30;nan;4970.0
Nouvelle-Aquitaine;2013-01-01;04:00;1855.0;4736.0
