numer_sta;date;pmer;tend;cod_tend;dd;vitesse_vent;temperature;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;;Nom;Latitude;Longitude;Altitude;Region
07005;20130101000000;100290.0;-50.0;8.0;200.0;6.7;281.65;280.45;92.0;14000.0;61.0;nan;nan;nan;nan;nan;nan;nan;nan;99400.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;11.3;-10.0;nan;0.0;nan;nan;0.6;1.0;3.0;nan;nan;710.0;1111.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130101000000;100270.0;-80.0;6.0;210.0;8.7;281.45;280.05;91.0;15000.0;61.0;6.0;6.0;100.0;8.0;450.0;35.0;61.0;60.0;99700.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;15.4;-10.0;nan;nan;0.0;-60.0;0.6;2.0;4.0;nan;nan;710.0;1115.0;3100.0;nan;7.0;6.0;360.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130101030000;100230.0;-60.0;6.0;200.0;4.1;281.35;280.75;96.0;20000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;99340.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.2;-10.0;nan;nan;nan;nan;0.0;0.8;nan;nan;nan;710.0;1107.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130101030000;100210.0;-60.0;6.0;210.0;6.7;281.25;280.15;93.0;30000.0;21.0;nan;nan;100.0;8.0;450.0;35.0;61.0;60.0;99640.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;9.8;-10.0;nan;nan;0.0;-30.0;0.2;1.0;nan;nan;nan;710.0;1110.0;3100.0;nan;5.0;6.0;330.0;8.0;6.0;570.0;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130101060000;100290.0;60.0;3.0;260.0;6.2;281.85;280.95;94.0;15000.0;0.0;nan;nan;100.0;8.0;450.0;38.0;61.0;60.0;99400.0;nan;nan;nan;281.25;nan;283.45;nan;281.15;nan;nan;nan;13.9;-10.0;2.0;0.0;nan;nan;1.0;2.0;nan;5.0;5.4;710.0;1114.0;nan;nan;2.0;8.0;480.0;8.0;6.0;1200.0;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130101060000;100170.0;-40.0;6.0;220.0;5.1;281.35;280.45;94.0;15000.0;60.0;nan;nan;100.0;8.0;450.0;35.0;61.0;60.0;99600.0;nan;nan;nan;281.25;nan;283.25;nan;281.15;nan;nan;nan;8.7;-10.0;2.0;0.0;0.0;-60.0;0.0;0.0;nan;5.0;5.2;710.0;1109.0;3100.0;nan;7.0;6.0;420.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130101090000;100680.0;380.0;3.0;280.0;5.1;280.05;278.05;87.0;18000.0;0.0;nan;nan;60.0;5.0;450.0;39.0;20.0;10.0;99780.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;10.3;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1110.0;3100.0;nan;4.0;8.0;480.0;1.0;9.0;600.0;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130101090000;100480.0;310.0;3.0;300.0;5.1;280.75;279.05;89.0;40000.0;1.0;6.0;2.0;75.0;6.0;800.0;38.0;23.0;10.0;99910.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;12.3;-10.0;nan;nan;0.0;-30.0;0.0;0.6;nan;nan;nan;710.0;1112.0;3100.0;nan;2.0;8.0;630.0;5.0;6.0;1500.0;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130101120000;100970.0;290.0;1.0;280.0;6.2;280.75;276.75;76.0;25000.0;2.0;1.0;1.0;50.0;4.0;450.0;32.0;20.0;10.0;100070.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;10.3;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1110.0;3100.0;nan;4.0;8.0;480.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130101120000;100830.0;350.0;1.0;300.0;6.2;280.95;276.65;74.0;40000.0;1.0;8.0;6.0;50.0;4.0;800.0;38.0;20.0;10.0;100260.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;11.3;-10.0;nan;nan;0.0;-60.0;0.0;0.2;0.8;nan;nan;710.0;1111.0;3100.0;nan;3.0;8.0;780.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130101150000;101130.0;160.0;3.0;250.0;4.1;280.65;277.05;78.0;25000.0;2.0;1.0;1.0;50.0;4.0;450.0;32.0;20.0;10.0;100230.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;8.2;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1108.0;3100.0;nan;4.0;8.0;480.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
