numer_sta;date;pmer;tend;cod_tend;dd;ff;t;vv;ww
07005;20130101000000;nan;nan;nan;nan;nan;nan;nan;nan
07015;20130101000000;nan;nan;nan;nan;nan;nan;nan;nan
07020;20130101000000;nan;nan;nan;nan;nan;nan;nan;nan
07027;20130101000000;-931.8057142857142;-36.058571428571426;1.517142857142857;48.111428571428576;2.0371428571428565;-0.7128571428571604;4614.465714285714;25.55142857142857
07037;20130101000000;-901.8057142857142;-17.487142857142857;0.8028571428571434;59.53999999999999;1.8942857142857141;-0.5699999999999932;nan;nan
07072;20130101000000;-858.9485714285693;2.5128571428571433;0.37428571428571455;63.82571428571427;1.0942857142857143;-0.41285714285714903;nan;nan
07110;20130101000000;-838.9485714285693;-23.201428571428572;0.8028571428571434;55.254285714285714;0.8085714285714287;-0.8557142857142708;nan;nan
07117;20130101000000;-794.6628571428591;-34.63;1.088571428571429;52.39714285714285;1.0371428571428574;-1.084285714285727;nan;nan
07130;20130101000000;-724.6628571428591;-40.34428571428572;0.8028571428571434;48.111428571428576;0.6657142857142855;-1.2271428571428373;nan;nan
07139;20130101000000;-681.8057142857142;-50.34428571428572;0.6600000000000001;45.254285714285714;0.8942857142857141;-1.584285714285727;nan;nan
07149;20130101000000;-607.5200000000041;-94.63;1.2314285714285713;28.111428571428576;1.0371428571428574;-2.155714285714282;nan;nan
07168;20130101000000;-570.377142857149;-90.3442857142857;1.2314285714285713;29.539999999999992;0.8799999999999999;-1.912857142857149;nan;nan
07181;20130101000000;-557.5200000000041;-97.48714285714286;1.2314285714285713;29.539999999999992;0.7371428571428567;-1.8557142857142708;nan;nan
07190;20130101000000;-517.5200000000041;-97.48714285714286;1.517142857142857;28.111428571428576;0.7371428571428567;-1.8414285714285938;nan;nan
07207;20130101000000;-463.23428571429395;-94.63;1.2314285714285713;29.539999999999992;0.36571428571428566;-1.8414285714285938;nan;nan
07222;20130101000000;-413.23428571429395;-96.05857142857143;1.3742857142857146;30.96857142857141;-0.06285714285714317;-2.412857142857149;nan;nan
07240;20130101000000;-366.0914285714389;-96.05857142857143;1.2314285714285713;33.82571428571427;-0.5771428571428574;-3.0271428571428487;nan;nan
07255;20130101000000;-403.23428571429395;-66.05857142857143;0.8028571428571434;46.68285714285713;0.16571428571428548;-1.998571428571438;nan;nan
07280;20130101000000;-387.5200000000041;-106.05857142857143;1.517142857142857;30.96857142857141;0.7514285714285718;-2.484285714285704;nan;nan
07299;20130101000000;-300.377142857149;-121.77285714285713;2.088571428571429;22.397142857142853;1.6228571428571428;-2.998571428571438;nan;nan
07314;20130101000000;-236.09142857143888;-113.20142857142856;2.088571428571429;20.96857142857141;2.4228571428571426;-2.9699999999999704;nan;nan
07335;20130101000000;nan;-114.63;2.3742857142857146;16.68285714285713;3.1514285714285712;-3.3842857142856815;nan;nan
07434;20130101000000;nan;-113.20142857142856;2.517142857142857;16.68285714285713;4.394285714285714;-2.412857142857149;nan;nan
07460;20130101000000;nan;-94.63;2.517142857142857;15.254285714285714;4.822857142857143;-1.2985714285714494;nan;nan
07471;20130101000000;nan;-98.91571428571429;3.088571428571429;-0.46000000000000796;3.937142857142857;-1.9271428571428828;nan;nan
07481;20130101000000;nan;-90.3442857142857;2.8028571428571434;-6.17428571428573;3.508571428571428;-2.255714285714305;nan;nan
07510;20130101000000;nan;-93.20142857142856;2.9457142857142857;-7.602857142857147;2.7800000000000002;-2.1271428571428714;nan;nan
07535;20130101000000;nan;-114.63;2.9457142857142857;-26.17428571428573;1.6799999999999997;-3.3842857142857383;nan;nan
07558;20130101000000;nan;-100.3442857142857;2.517142857142857;-31.888571428571424;0.5800000000000001;-2.9414285714285597;nan;nan
07577;20130101000000;nan;-70.3442857142857;1.3742857142857146;-31.888571428571424;-0.7485714285714287;-3.4700000000000273;nan;nan
07591;20130101000000;nan;-51.77285714285715;0.6600000000000001;-59.03142857142858;-1.4771428571428573;-4.427142857142883;nan;nan
07607;20130101000000;nan;-44.63;-0.05428571428571427;-57.60285714285715;-1.62;-4.298571428571449;nan;nan
07621;20130101000000;nan;-48.91571428571429;0.23142857142857132;-70.46000000000001;-1.7771428571428571;-3.9414285714285597;nan;nan
07627;20130101000000;nan;-51.77285714285715;0.08857142857142897;-81.88857142857144;-1.4914285714285715;-3.498571428571438;nan;nan
07630;20130101000000;312.4799999999959;-33.20142857142857;-0.05428571428571427;-67.60285714285715;-1.3485714285714288;-1.9557142857142935;nan;nan
07643;20130101000000;392.4799999999959;-48.91571428571429;0.37428571428571455;-40.46000000000001;-0.6771428571428575;-2.2128571428571604;nan;nan
07650;20130101000000;362.4799999999959;-78.91571428571429;1.2314285714285713;-30.460000000000008;-0.5914285714285716;-2.341428571428594;nan;nan
07661;20130101000000;421.05142857143073;-106.05857142857143;2.2314285714285713;-26.17428571428573;-0.005714285714286227;-1.741428571428571;nan;nan
07690;20130101000000;493.9085714285611;-128.9157142857143;3.088571428571429;-26.17428571428573;-0.16285714285714326;-1.8985714285714153;nan;nan
07747;20130101000000;366.76571428570605;nan;nan;-14.745714285714286;-0.7485714285714287;0.37285714285712857;nan;nan
