numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20130101000000;100290.0;-50.0;8.0;200.0;6.7;281.65;280.45;92.0;14000.0;61.0;nan;nan;nan;nan;nan;nan;nan;nan;99400.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;11.3;-10.0;nan;0.0;nan;nan;0.6;1.0;3.0;nan;nan;710.0;1111.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07015;20130101000000;100270.0;-80.0;6.0;210.0;8.7;281.45;280.05;91.0;15000.0;61.0;6.0;6.0;100.0;8.0;450.0;35.0;61.0;60.0;99700.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;15.4;-10.0;nan;nan;0.0;-60.0;0.6;2.0;4.0;nan;nan;710.0;1115.0;3100.0;nan;7.0;6.0;360.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07020;20130101000000;100350.0;40.0;3.0;260.0;7.7;284.15;281.85;86.0;12000.0;1.0;6.0;2.0;75.0;6.0;800.0;38.0;20.0;10.0;100090.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;11.8;-10.0;nan;nan;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1112.0;nan;nan;4.0;8.0;780.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07027;20130101000000;100370.0;-60.0;6.0;220.0;4.6;282.35;280.95;91.0;60000.0;0.0;nan;nan;100.0;nan;800.0;nan;nan;nan;99560.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;8.7;-10.0;nan;0.0;nan;nan;0.0;1.0;6.0;nan;nan;710.0;1109.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07037;20130101000000;100440.0;-90.0;8.0;210.0;7.7;280.85;279.75;93.0;11000.0;61.0;nan;nan;100.0;nan;250.0;nan;nan;nan;98610.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;10.3;-10.0;nan;nan;nan;nan;0.8;2.0;2.0;nan;nan;710.0;1110.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07072;20130101000000;100760.0;-100.0;8.0;200.0;4.1;280.75;277.65;81.0;18000.0;61.0;nan;nan;100.0;nan;1750.0;nan;nan;nan;99610.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;8.7;-10.0;nan;0.0;nan;nan;0.6;0.6;0.6;nan;nan;710.0;1109.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07110;20130101000000;100640.0;120.0;2.0;300.0;3.6;282.15;281.05;93.0;15000.0;25.0;8.0;6.0;75.0;6.0;450.0;38.0;20.0;10.0;99500.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.2;-10.0;nan;nan;nan;nan;0.2;0.2;0.2;nan;nan;710.0;1107.0;nan;nan;3.0;8.0;330.0;4.0;6.0;1320.0;nan;nan;nan;nan;nan;nan;
07117;20130101000000;100500.0;80.0;3.0;280.0;5.7;282.65;281.05;90.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;99800.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;10.3;-10.0;nan;nan;nan;nan;0.0;0.6;2.0;nan;nan;710.0;1110.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07130;20130101000000;100570.0;60.0;3.0;240.0;3.1;282.55;281.65;94.0;60000.0;0.0;nan;nan;100.0;nan;800.0;nan;nan;nan;100050.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.1;-10.0;nan;0.0;nan;nan;0.0;1.0;12.0;nan;nan;710.0;1105.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07139;20130101000000;100490.0;-140.0;6.0;200.0;5.7;281.05;280.25;95.0;6000.0;61.0;nan;nan;100.0;nan;250.0;nan;nan;nan;98760.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;11.3;-10.0;nan;nan;nan;nan;1.0;5.0;6.0;nan;nan;710.0;1111.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07149;20130101000000;100680.0;-140.0;8.0;200.0;6.2;280.75;279.25;90.0;10000.0;60.0;6.0;2.0;90.0;7.0;450.0;35.0;61.0;60.0;99590.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;10.8;-10.0;nan;nan;0.0;-60.0;0.8;2.0;2.0;nan;nan;710.0;1111.0;3100.0;nan;4.0;6.0;360.0;4.0;6.0;540.0;6.0;6.0;1170.0;nan;nan;nan;
07168;20130101000000;100930.0;-130.0;6.0;180.0;5.1;279.85;276.05;77.0;20000.0;0.0;nan;nan;100.0;nan;2250.0;nan;nan;nan;99490.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;9.8;-10.0;nan;0.0;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1110.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07181;20130101000000;101060.0;-170.0;7.0;180.0;5.7;278.25;273.85;73.0;60000.0;0.0;nan;nan;100.0;nan;nan;nan;nan;nan;96920.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;9.8;-10.0;nan;nan;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1110.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07190;20130101000000;101160.0;-190.0;6.0;180.0;4.6;278.15;274.05;75.0;45000.0;0.0;nan;nan;100.0;nan;nan;nan;nan;nan;99310.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.7;-10.0;nan;nan;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1107.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07207;20130101000000;100760.0;110.0;3.0;290.0;4.6;284.35;282.75;90.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;100240.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;10.3;-10.0;nan;nan;nan;nan;0.0;2.0;5.0;nan;nan;710.0;1110.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07222;20130101000000;100660.0;10.0;3.0;240.0;2.1;282.95;282.65;98.0;12000.0;61.0;6.0;6.0;90.0;7.0;800.0;35.0;61.0;60.0;100350.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;4.6;-10.0;nan;nan;nan;nan;0.6;7.0;12.0;nan;nan;710.0;1105.0;nan;nan;3.0;6.0;720.0;4.0;6.0;1380.0;7.0;6.0;2100.0;nan;nan;nan;
07240;20130101000000;100770.0;-140.0;8.0;190.0;5.7;281.15;280.05;93.0;6000.0;61.0;6.0;2.0;90.0;7.0;250.0;35.0;61.0;60.0;99420.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;10.3;-10.0;nan;nan;0.0;-60.0;3.0;6.0;6.0;nan;nan;710.0;1110.0;3100.0;nan;7.0;6.0;240.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07255;20130101000000;101060.0;-120.0;6.0;210.0;3.6;280.75;278.25;84.0;19000.0;60.0;nan;nan;100.0;nan;1250.0;nan;nan;nan;99050.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.7;-10.0;nan;nan;nan;nan;0.4;0.4;0.4;nan;nan;710.0;1106.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07280;20130101000000;101280.0;-140.0;7.0;190.0;2.1;275.85;274.05;88.0;22000.0;0.0;nan;nan;100.0;nan;nan;nan;nan;nan;98490.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;3.1;-10.0;nan;nan;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1103.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07299;20130101000000;101390.0;-170.0;6.0;200.0;2.1;273.95;271.85;86.0;40000.0;2.0;1.0;1.0;40.0;0.0;nan;30.0;20.0;11.0;98020.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.7;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1106.0;3100.0;nan;3.0;0.0;7800.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07314;20130101000000;100900.0;20.0;3.0;270.0;9.8;285.35;283.45;88.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;100620.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;22.6;-10.0;nan;nan;nan;nan;0.0;1.0;4.0;nan;nan;710.0;1123.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07335;20130101000000;100870.0;-170.0;8.0;180.0;8.7;280.95;279.75;92.0;10000.0;63.0;nan;nan;100.0;nan;450.0;nan;nan;nan;99420.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;16.5;-10.0;nan;nan;nan;nan;1.0;2.0;2.0;nan;nan;710.0;1116.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07434;20130101000000;101270.0;-100.0;7.0;180.0;8.2;279.35;276.35;81.0;45000.0;61.0;nan;nan;100.0;nan;450.0;nan;nan;nan;96440.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;13.9;-10.0;nan;0.0;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1114.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07460;20130101000000;101220.0;-80.0;8.0;180.0;11.3;281.35;273.85;59.0;30000.0;2.0;1.0;1.0;90.0;7.0;3500.0;30.0;27.0;60.0;97320.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;16.5;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1116.0;3100.0;nan;7.0;3.0;3900.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07471;20130101000000;nan;-130.0;8.0;180.0;8.7;277.85;273.05;71.0;20000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;91680.0;85000.0;17260.0;nan;nan;nan;nan;nan;nan;nan;nan;15.4;16.5;-10.0;nan;0.0;nan;nan;0.0;0.0;0.0;nan;nan;1015.0;710.0;1116.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07481;20130101000000;101440.0;-130.0;8.0;190.0;10.8;282.65;276.35;65.0;40000.0;2.0;1.0;1.0;50.0;1.0;3500.0;30.0;23.0;12.0;98560.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;16.5;21.1;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;1016.0;710.0;1121.0;3100.0;1.0;3.0;4200.0;4.0;0.0;6000.0;nan;nan;nan;nan;nan;nan;
07510;20130101000000;101300.0;-40.0;6.0;190.0;5.1;281.75;281.35;97.0;nan;61.0;nan;nan;100.0;7.0;250.0;37.0;61.0;60.0;100720.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;8.7;-10.0;nan;nan;nan;nan;1.0;2.0;2.0;nan;nan;710.0;1109.0;nan;nan;7.0;7.0;210.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07535;20130101000000;101500.0;-10.0;7.0;160.0;3.6;280.95;277.15;77.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;98350.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.7;-10.0;nan;nan;nan;nan;0.2;0.2;0.2;nan;nan;710.0;1107.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07558;20130101000000;101590.0;-110.0;6.0;140.0;5.7;278.65;276.15;84.0;20000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;93160.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;16.5;-10.0;nan;0.0;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1116.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
07577;20130101000000;101810.0;-120.0;8.0;170.0;3.1;280.25;278.25;87.0;17000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;100900.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.1;-10.0;nan;0.0;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1105.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
