code_insee_region;consommation_brute_electricite_rte;consommation_brute_gaz_grtgaz;consommation_brute_gaz_terega;consommation_brute_gaz_totale;consommation_brute_totale;date;date_heure;heure;region;statut_grtgaz;statut_rte;statut_terega
24;nan;nan;nan;nan;nan;2013-01-01;20130101000000;00:00;Centre-Val de Loire;nan;nan;nan
75;nan;nan;1775.0;nan;nan;2013-01-01;20130101000000;00:00;Nouvelle-Aquitaine;nan;nan;Définitif
11;9134.0;nan;nan;nan;nan;2013-01-01;20130101003000;00:30;Île-de-France;nan;Définitif;nan
24;2476.0;nan;nan;nan;nan;2013-01-01;20130101003000;00:30;Centre-Val de Loire;nan;Définitif;nan
76;5228.0;nan;nan;nan;nan;2013-01-01;20130101003000;00:30;Occitanie;nan;Définitif;nan
24;2319.0;nan;nan;nan;nan;2013-01-01;20130101010000;01:00;Centre-Val de Loire;nan;Définitif;nan
84;7944.0;nan;35.0;nan;nan;2013-01-01;20130101010000;01:00;Auvergne-Rhône-Alpes;nan;Définitif;Définitif
93;5698.0;nan;nan;nan;nan;2013-01-01;20130101010000;01:00;Provence-Alpes-Côte d'Azur;nan;Définitif;nan
24;2560.0;nan;nan;nan;nan;2013-01-01;20130101013000;01:30;Centre-Val de Loire;nan;Définitif;nan
28;3570.0;nan;nan;nan;nan;2013-01-01;20130101013000;01:30;Normandie;nan;Définitif;nan
53;2735.0;nan;nan;nan;nan;2013-01-01;20130101013000;01:30;Bretagne;nan;Définitif;nan
24;2395.0;nan;nan;nan;nan;2013-01-01;20130101020000;02:00;Centre-Val de Loire;nan;Définitif;nan
28;3569.0;nan;nan;nan;nan;2013-01-01;20130101020000;02:00;Normandie;nan;Définitif;nan
75;5443.0;nan;1760.0;nan;nan;2013-01-01;20130101020000;02:00;Nouvelle-Aquitaine;nan;Définitif;Définitif
76;4881.0;nan;1954.0;nan;nan;2013-01-01;20130101020000;02:00;Occitanie;nan;Définitif;Définitif
24;2328.0;nan;nan;nan;nan;2013-01-01;20130101023000;02:30;Centre-Val de Loire;nan;Définitif;nan
44;4855.0;nan;nan;nan;nan;2013-01-01;20130101023000;02:30;Grand Est;nan;Définitif;nan
52;3146.0;nan;nan;nan;nan;2013-01-01;20130101023000;02:30;Pays de la Loire;nan;Définitif;nan
28;3148.0;nan;nan;nan;nan;2013-01-01;20130101033000;03:30;Normandie;nan;Définitif;nan
52;2797.0;nan;nan;nan;nan;2013-01-01;20130101033000;03:30;Pays de la Loire;nan;Définitif;nan
28;3069.0;nan;nan;nan;nan;2013-01-01;20130101040000;04:00;Normandie;nan;Définitif;nan
93;4926.0;nan;nan;nan;nan;2013-01-01;20130101040000;04:00;Provence-Alpes-Côte d'Azur;nan;Définitif;nan
11;7378.0;nan;nan;nan;nan;2013-01-01;20130101043000;04:30;Île-de-France;nan;Définitif;nan
28;2994.0;nan;nan;nan;nan;2013-01-01;20130101043000;04:30;Normandie;nan;Définitif;nan
44;4343.0;nan;nan;nan;nan;2013-01-01;20130101043000;04:30;Grand Est;nan;Définitif;nan
53;2336.0;nan;nan;nan;nan;2013-01-01;20130101043000;04:30;Bretagne;nan;Définitif;nan
28;2982.0;nan;nan;nan;nan;2013-01-01;20130101050000;05:00;Normandie;nan;Définitif;nan
53;2277.0;nan;nan;nan;nan;2013-01-01;20130101050000;05:00;Bretagne;nan;Définitif;nan
84;7183.0;nan;nan;nan;nan;2013-01-01;20130101053000;05:30;Auvergne-Rhône-Alpes;nan;Définitif;nan
93;4869.0;nan;nan;nan;nan;2013-01-01;20130101053000;05:30;Provence-Alpes-Côte d'Azur;nan;Définitif;nan
28;2972.0;6213.0;nan;6213.0;9185.0;2013-01-01;20130101060000;06:00;Normandie;Définitif;Définitif;nan
44;4291.0;nan;nan;nan;nan;2013-01-01;20130101063000;06:30;Grand Est;nan;Définitif;nan
53;2338.0;nan;nan;nan;nan;2013-01-01;20130101063000;06:30;Bretagne;nan;Définitif;nan
24;2065.0;2602.0;nan;2602.0;4667.0;2013-01-01;20130101070000;07:00;Centre-Val de Loire;Définitif;Définitif;nan
44;4281.0;nan;nan;nan;nan;2013-01-01;20130101073000;07:30;Grand Est;nan;Définitif;nan
